video_id,comment_id,author,author_channel_url,like_count,published_at,updated_at,processed_text,channel,predicted_language,confidence_score
ifDCmRBElPY,Ugw1cAMqGW6b7ntJiex4AaABAg,@LetsbeYannis,http://www.youtube.com/@LetsbeYannis,5,2020-10-27T05:18:31Z,2020-10-27T05:18:31Z,It is funny how he talks about Amazon like it is a missed investment but if he had just bought  it at the time it would have been an easy ten bagger.I guess no one is perfect after all.,Talks at Google,en,0.9932405948638916
-IV9qjL8zI0,UgxNB7pepa-s8J84LWV4AaABAg.9WVqYvVvaHe9WsQbZ68mPE,@Kevin-ul8ux,http://www.youtube.com/@Kevin-ul8ux,4,2022-01-06T22:13:15Z,2022-01-06T22:13:15Z,It does seem somewhat counterintuitive to give every adult the right to vote while doing relatively little to ensure they understand the issue or how it affects them.  I'm not convinced there's much difference in a democracy where voters don't understand their interests and can't reasonably predict the consequences of their vote and a  government that's dictatorial in nature (other than the illusion of having control vs having been disabused of it.),Talks at Google,en,0.9667097330093384
gcai0i2tJt0,UgwEF8pmVbbm-yEUirF4AaABAg,@EtreTocsin,http://www.youtube.com/@EtreTocsin,0,2022-01-18T06:14:52Z,2022-01-18T06:14:52Z,From hosting this enlighting subject and wholesome author to mandating experimental vaccines for all its employees…how far Google has fallen from grace. tsk tsk tsk…shame….,Talks at Google,en,0.9150899052619934
Bw9P_ZXWDJU,UgxtWdGG3EXb02OXwH94AaABAg,@sergeysergey250,http://www.youtube.com/@sergeysergey250,0,2019-07-31T09:04:00Z,2019-07-31T09:04:00Z,"I have question regarding evolution and my ancestors. How many ancestors experiences do I incorporate in my genes.  Let’s assume that a new generation is born every 20 years. The purpose is to calculate all ancestors 2000 years backward. Let’s begin with simple calculation 200 years backward which means 10 generations backward. One generation back equals 1*2, two generations back equals 1*2*2, three generations back equals 1*2*2*2, ten generations back equals 2^10 = 1024 ancestors for 200 years back. In order to simplify calculations I round 1024 to 1000 or 10^3. Now let’s calculate ancestors backward 400 years which equals to 1000 * 1000, backward 600 years equals 1000*1000*1000, backward 2000 years equals 1000^(3*10) = 10^30. That means that all my ancestors backward 2000 years equals to the number 1 followed by 30 zeros! Did I really have 1.000.000.000.000.000.000.000.000.000.000 ancestors 2000 years backward?",Talks at Google,en,0.9273932576179504
2C-zWrhFqpM,UgzIkZYJd8KrCSdeuZ54AaABAg,@feelwang,http://www.youtube.com/@feelwang,0,2019-08-05T18:18:56Z,2019-08-05T18:19:45Z,The interviewer has this my most dislike  kind of nose voice. Can a man speak from his mouth for Christ sake. Only bare him at least smart enough no interruption to Noam,Talks at Google,en,0.992724359035492
-uyxA6rfyKM,UgxP36XaQ0-Xt8NSQIx4AaABAg,@ashleyalonzo8991,http://www.youtube.com/@ashleyalonzo8991,6,2017-10-17T10:53:17Z,2017-10-17T10:56:03Z,I love it I'm going to be using Google. Now and I hope they make a Selena Emoji I think it would be cool  I love Selena and I wish I could of meet her😢😢 and I so Admire her  for her beauty and her Talented,Talks at Google,en,0.988706111907959
Dt5Qv9tUObI,UgjYr5MF_apZ-3gCoAEC,@mamunurrashid5652,http://www.youtube.com/@mamunurrashid5652,0,2014-11-22T06:11:22Z,2014-11-22T06:11:22Z,I liked Dan Harris...,Talks at Google,en,0.9801310300827026
9nXop2lLDa4,UgwdzFnuMxrAYKJbq2R4AaABAg,@mdsahebuddin1399,http://www.youtube.com/@mdsahebuddin1399,0,2020-07-14T09:40:20Z,2020-07-14T09:40:20Z,I am interested to translate your book  from English to Bengali in understandable language to Bangladeshi citizen. I am professionally translator.  I worked with Bangladesh Army as interpreter in Kuwait both  Arabic and English.  You can trust upon me. I   professionally  work as translator.  My Mobile  is 01676211940 also I am always  interested to get anti aging information.,Talks at Google,en,0.974821150302887
QQn8X4FbpTM,UghZlLbiox6aGXgCoAEC,@ronakpatel1904,http://www.youtube.com/@ronakpatel1904,1,2017-04-10T22:00:43Z,2017-04-10T22:00:43Z,Soo unreal! Mind blowing stuff!,Talks at Google,en,0.993601381778717
7spqWnCBgRE,Ugx6IY2s8NuR5cWUucZ4AaABAg,@evergreenrider,http://www.youtube.com/@evergreenrider,0,2019-11-28T05:51:58Z,2019-11-28T05:51:58Z,Chris's videos need to be required curriculum in public school. Starting as young as possible. This could have such an amazing impact on our children and society,Talks at Google,en,0.9704378247261048
CausE8Sc8Uc,Ugw7Blk0MY8wYh1MyNN4AaABAg.9-xof9JNYBQ90-BUfB3-G3,@michaelcook3168,http://www.youtube.com/@michaelcook3168,1,2019-10-12T17:19:01Z,2019-10-12T17:19:01Z,"That's what I thought too. This is just an advertisement for the Pharmaceutical and Psychiatric industries.  My experience with this has been completely different. I did not have such a good experience with them.  They often cause far more complications than they solve.  With all the mental illness in our society, I have never met a person who they have 'cured' of anything. It's just another industry.",Talks at Google,en,0.987447202205658
Sn-WqBFx44U,UgxHBsOBzFGLkq7-Fgp4AaABAg,@jviajero8412,http://www.youtube.com/@jviajero8412,0,2022-12-11T00:07:31Z,2022-12-11T00:07:31Z,I kept checking WhatsApp during this interview,Talks at Google,en,0.9869916439056396
y1MHyyWsMeE,UghBsLmsZcawFHgCoAEC.86YXln0fjZ_9noS5C8Fe24,@vividvisions693,http://www.youtube.com/@vividvisions693,0,2023-03-28T18:34:18Z,2023-03-28T18:34:18Z,fascinating stuff right here!  thank you for pointing this out. ✌🏻:),Talks at Google,en,0.9906272888183594
-vJQfovp-hQ,UgwR4hrT3nVl0qufBqJ4AaABAg,@cloakintersection7756,http://www.youtube.com/@cloakintersection7756,5,2018-05-07T23:26:37Z,2018-05-07T23:26:37Z,Any actionable knowledge from this talk? Another sleep aid for insomniacs?,Talks at Google,en,0.982464611530304
Azzu90a9TFo,UgzRK6sJq-3zcpjE9Qd4AaABAg,@huijennychenmd,http://www.youtube.com/@huijennychenmd,0,2018-01-27T04:01:36Z,2018-01-27T04:01:36Z,"The poor UI/UX of EHR is the result of the knowledge gap between engineering and the medical profession. If the two disciplines cannot listen to each other, good luck with creating a useful software",Talks at Google,en,0.983153522014618
EScvgGxFq4Q,UggnX9WkKOYGiXgCoAEC,@cristysaemy,http://www.youtube.com/@cristysaemy,1,2017-01-23T01:26:39Z,2017-01-23T01:26:39Z,"I learned to make the best Kimchi thanks to Maangchi, she is a true Cordon Bleu !!!",Talks at Google,en,0.9406487941741944
ExpMbC7UAgY,Ugj1x6dmM3LB0HgCoAEC,@ahmad4954,http://www.youtube.com/@ahmad4954,0,2017-03-29T23:02:34Z,2017-03-29T23:02:34Z,in this video I learn a lot of things but as a Non-English speaking I didn't manage to understand a lot of of words and how to write them so can u pls add subtitles like TED do,Talks at Google,en,0.987891674041748
ny5OQxLqzEM,Ugioy5RSkQJbX3gCoAEC.7-H0Z7-99Z-9d88wbD7MzL,@S-O-T,http://www.youtube.com/@S-O-T,0,2022-07-06T09:45:41Z,2022-07-06T09:45:41Z,"Don't eat raw vegetablesConcern surrounding the impact of spinach, kale and other similar vegetables — including broccoli, broccoli rabe, turnips, Brussels sprouts, Chinese cabbage and cauliflower — on thyroid health is due to the effect they can have on the thyroid's ability to absorb iodine.25 Dec 2016Iodine is an element that plays an essential role in the functioning of a healthy thyroid. It is used for the production of thyroid hormones. It is particularly important in women who are pregnant as it is needed to ensure the development of a baby's brain during pregnancy and early life.19 Sept 2019",Talks at Google,en,0.9595073461532592
YFS5JBgz1Xc,UgxCEHEbL4Cb_KgftFB4AaABAg,@aliyasdianahp5441,http://www.youtube.com/@aliyasdianahp5441,0,2021-03-25T19:12:16Z,2021-03-25T19:12:16Z,"The tranquil country constitutively drown because sandra biomechanically stretch despite a last season. malicious, envious patient",Talks at Google,en,0.94043231010437
CjVQJdIrDJ0,UgwhB97a3Ggna9TRSsN4AaABAg,@julianchafer8425,http://www.youtube.com/@julianchafer8425,0,2020-02-11T18:29:44Z,2020-02-11T18:29:44Z,question round was really poor,Talks at Google,en,0.9929201006889344
8XPDCGlP630,Ugzmr3gr_c0o2lE_lCh4AaABAg,@harkhashakya4892,http://www.youtube.com/@harkhashakya4892,0,2022-10-22T06:20:05Z,2022-10-22T06:20:05Z,Wandana   wandana   wandana   sadhu   sadhu   sadhu.,Talks at Google,sw,0.9768268465995787
guZa7mQV1l0,UgzRuCBTBCJhmofArzt4AaABAg,@ironman5454,http://www.youtube.com/@ironman5454,0,2019-02-12T20:35:56Z,2019-02-12T20:35:56Z,"From IOWA ! Hell, I would have thought he'd say ""Grew up in Hells Kitchen, me and my crew used to hit the Deuce every day and start the hustle - 3 card monte, you name it"", not 'I'm from Iowa'.",Talks at Google,en,0.9143528938293456
Zd14s2WW-Tc,UgwxVZYoQ7YUfBwO25h4AaABAg,@MichaelOZimmermannJCDECS,http://www.youtube.com/@MichaelOZimmermannJCDECS,0,2018-12-10T03:29:38Z,2018-12-10T03:39:48Z,"Only an American can be that ignorant... The use of the word ""democracy"" proves, that it is just a word, which, if not filled with life, is meaningless. Secondly, if Americans believe they live in a democracy, all they have to do is ask: who controls everything, and who owns everything!?Example: Who got the most votes during the last presidential election, and who won, and why?:-) One important point to make here, when talking about the Chinese Communist Party is this: The party has today about 89 million members!!! How many members do all political parties in the US have combined? Divide the population of eligible voters by the number of party-members of both countries, and the result will surprise you.",Talks at Google,en,0.930316925048828
sy8odY3JwMI,Ugymj5kJF9FCc5kuBm94AaABAg,@moniqueeasley4086,http://www.youtube.com/@moniqueeasley4086,0,2022-12-12T22:08:17Z,2022-12-12T22:08:17Z,Don't worry I'm his Bodyguard,Talks at Google,en,0.9799561500549316
wHEkXRiQhgM,Ugzqqmqxc0ms9FBmhL54AaABAg,@shah9394,http://www.youtube.com/@shah9394,1,2020-11-24T23:17:45Z,2020-11-24T23:17:45Z,"Ok i usually don't post.....but dude put down the microphone,  get out of thar chair and go back to the cube farm. This is what happens when an introvert is put in the light and asked to connect with the human condition.  Which by the way was the heart of these books....the human condition..... sigh ..... im sorry I'm sure you are a decent person who is good at what you do but this was a car crash of a bus full of nuns and a bus full of kittens in slow motion......",Talks at Google,en,0.9806661009788512
9nXop2lLDa4,UgxWZNTT82iy_GEZZzx4AaABAg,@filamanflashy-versacecliqu5028,http://www.youtube.com/@filamanflashy-versacecliqu5028,0,2021-06-24T11:01:35Z,2021-06-24T11:01:35Z,"There already are people I've seen as kid distant family relatives I seen as a 6 years old she was 63 but still looked like they were 12 years old who gave me nightmares as kid seeing the things that lady did was the scariest shit I've ever seen like she use to spy on me in the backyard when I was 8 she,even almost put my hands on the stove .These immortal people who are born immortal are the most evil people on earth .",Talks at Google,en,0.9519293308258056
zKwSg7OyvoE,UgxAcGXtfM-9nYHIuPh4AaABAg.8ui6aS6R78x8unzCaf8hXG,@nodgelyobo1,http://www.youtube.com/@nodgelyobo1,0,2019-05-11T20:23:42Z,2019-05-11T20:23:42Z,"I  know mate,  look at him, he knows himself he's talking shit, but he can't help himself..cos the govt are paying him, or in this case Google...same thing really",Talks at Google,en,0.9366959929466248
gOhYT737ItY,UgyAQjTRHL0eLQWigdN4AaABAg,@zyedyassar5594,http://www.youtube.com/@zyedyassar5594,0,2021-06-06T16:02:26Z,2021-06-06T16:02:26Z,Hey,Talks at Google,sw,0.932709574699402
KcaVhMt71qE,Ugz0toaiJIpHeT91MkV4AaABAg,@thinkdifferent356,http://www.youtube.com/@thinkdifferent356,0,2022-11-01T10:23:49Z,2022-11-01T10:23:49Z,47:11,Talks at Google,ur,0.96990168094635
dieRrAK9rfM,Ugzj4wp7lvh0fWghFVd4AaABAg,@morecringe89,http://www.youtube.com/@morecringe89,0,2022-06-15T22:27:42Z,2022-06-15T22:27:42Z,Awesome guy,Talks at Google,en,0.992528796195984
cedarz9bEoA,Ugz76AnEE64BG1FSFLt4AaABAg.9xtALmFeCYx9xtAZWzMueJ,@patrickbrussels4454,http://www.youtube.com/@patrickbrussels4454,0,2023-12-04T03:51:18Z,2023-12-04T03:51:18Z,"I've been in touch with a financial analyst ever since I started my business. Knowing today's culture The challenge is knowing when to purchase or sell when investing in trending stocks, which is pretty simple. On my portfolio, which has grown over $900k in a little over a year, my adviser chooses entry and exit orders.",Talks at Google,en,0.98600971698761
zfTLp8kOULY,UgwRXTl9Mb9hplWWhz14AaABAg.8GcfRLJEtN18lvK54U0IXs,@CMoore8539,http://www.youtube.com/@CMoore8539,0,2018-10-03T00:07:03Z,2018-10-03T00:07:03Z,"themajordude, I would freak out!!! Imagine her children. Bless their hearts.😊♥️",Talks at Google,en,0.9928916692733764
KcaVhMt71qE,Ugzgk8Ub8XynPuuzW_14AaABAg,@uranusplanet1226,http://www.youtube.com/@uranusplanet1226,2,2019-09-25T04:00:12Z,2019-09-25T04:00:35Z,95% of my farts smells bad. Buy my book,Talks at Google,en,0.9941510558128356
KcaVhMt71qE,UgxoDecPqgkUv1K0T5p4AaABAg,@zholud,http://www.youtube.com/@zholud,1,2019-07-26T21:25:17Z,2019-07-26T21:25:17Z,So if you are tempted to buy the book - don’t. Wait 10 minutes and then buy Carl Jung.,Talks at Google,en,0.9932301044464112
N1Ni3Xok17w,UgwEez7zCb59sBE74ap4AaABAg.99PWARI-AR99NdpciepFWB,@CardcaptorLiShowron,http://www.youtube.com/@CardcaptorLiShowron,1,2021-05-22T13:29:26Z,2021-05-22T13:29:26Z,Well at lest people born in that time. Not ones born before that time.,Talks at Google,en,0.9886256456375122
ynbgMKclWWc,UgzaMNqFgoF5mpVlq-p4AaABAg,@bjpcorp,http://www.youtube.com/@bjpcorp,18,2019-03-14T18:16:59Z,2019-03-14T18:16:59Z,"I find it strange that people take leave of critical thinking in favour of the herd mentality. Generations have been forced, then groomed into capitalism from birth, it's all they know and are unable to see outside the bubble capitalism has created for them. Capitalism is a plague on the human condition, it uses our nature to lure us in then traps us in a lifetime of toil so the few can live in luxury with power.",Talks at Google,en,0.9172202348709106
XHCECutyl2A,Ugw7VrfUwSc3SszZmxh4AaABAg,@kcsky5589,http://www.youtube.com/@kcsky5589,0,2021-05-24T14:57:28Z,2021-05-24T14:57:28Z,True American,Talks at Google,en,0.9352790713310242
-HpBHWUPa8Q,UgzQQhIWMyVHtLC87PV4AaABAg,@dardar1434,http://www.youtube.com/@dardar1434,0,2020-01-20T12:35:50Z,2020-01-20T12:35:50Z,Says a man who obtained fame and fortune in the greatest country that never was. Hypocrite.,Talks at Google,en,0.9223383069038392
jQfKwiZg5QI,UgztLsJQmGz8FzpIImx4AaABAg.8ZSm6tHpaOJ9OZEXxNhYTj,@cakenshape,http://www.youtube.com/@cakenshape,0,2021-06-14T05:51:48Z,2021-06-14T05:51:48Z,Would u miss me richie?,Talks at Google,en,0.9512833952903748
VjzuKLHyGwE,UgxZLKTdW6cZIb2UopN4AaABAg,@charankol,http://www.youtube.com/@charankol,0,2018-03-08T17:42:08Z,2018-03-08T17:42:08Z,"interesting that we somehow come in a phase that, when a woman and.a man sit, it is normal to see her underpants and the guy is almost completely dressed and it is pretty normal.",Talks at Google,en,0.9789931774139404
62wiHp1xgRI,UgwmmkpJGvyVl6Ejrbd4AaABAg,@goldslinger,http://www.youtube.com/@goldslinger,0,2020-05-26T03:35:55Z,2020-05-26T03:35:55Z,People who love scotch have never tried a top shelf Bourbon,Talks at Google,en,0.9719462990760804
ML85PFluEoE,UgzD3xQ5qI9UmgcO5l54AaABAg,@myduece7301,http://www.youtube.com/@myduece7301,1,2022-12-13T15:47:54Z,2022-12-13T15:47:54Z,"Why didn't the Biden administration just hire clowns? It's absolutely a joke that this is trying to be normalized! It's not normal and it's not activism! Made up, immoral B.S is not a value it's corruption  and a power grab!!",Talks at Google,en,0.949308693408966
uDLuzIKnvrU,UgyJjmarZz77n0Lbyxh4AaABAg,@johnnatanmalpica,http://www.youtube.com/@johnnatanmalpica,1,2021-11-27T19:54:56Z,2021-11-27T19:54:56Z,Thanks. Google / Shira. Minimalism is a lifestyle!!,Talks at Google,en,0.982142984867096
hYv_tQDG3H4,UgjzVRm0HWQFx3gCoAEC,@lucianooliveira5188,http://www.youtube.com/@lucianooliveira5188,2,2017-05-17T02:21:35Z,2017-05-17T02:21:35Z,great job Arnell!,Talks at Google,en,0.9856426119804382
ginQNMiRu2w,Ugx_W6VJWOPM6r0Pmfh4AaABAg,@mcarneybsa,http://www.youtube.com/@mcarneybsa,0,2012-05-30T20:21:25Z,1970-01-01T00:00:00Z,"this guy is sooo angry!
",Talks at Google,en,0.9842001795768738
EScvgGxFq4Q,Ugz8_2zCZELDERwuAch4AaABAg,@davidmacdonald625,http://www.youtube.com/@davidmacdonald625,0,2018-03-18T22:30:07Z,2018-03-18T22:30:07Z,How many dogs from the meat farm are there,Talks at Google,en,0.976339876651764
xudkTG-wM6s,UgzTk29nhDpRRwZq_114AaABAg,@vickyjoe,http://www.youtube.com/@vickyjoe,2,2019-08-08T09:13:11Z,2019-08-08T09:13:11Z,"I am proud to say that all the companies I worked for have celebrated women,  implemented large scale programs to combat bias, developed committees to combat sexual harassment in the workplace etc.",Talks at Google,en,0.9377031326293944
gcai0i2tJt0,Ugw9AGuIw_KVC2ItQmN4AaABAg,@greyhnd001,http://www.youtube.com/@greyhnd001,0,2022-11-20T01:47:08Z,2022-11-20T01:47:33Z,Whole food plant diet can do it as well.,Talks at Google,en,0.9930203557014464
YHZKX0H6cUE,Ugxj82VcE88EV0mQGzN4AaABAg.9HB5ueq_9A19IMhYpvAkVT,@michaelwells203,http://www.youtube.com/@michaelwells203,1,2021-01-11T05:55:34Z,2021-01-11T05:55:34Z,"This chick went off the rails early in the video with the critical race intersectionality BS.  Interesting how she confuses Privilege vs  hard work and sacrifice.  Since she feels she and other Asians are so privileged, I suggest that she move 5 or 10 homeless bums into her home and take care of them.  Oh and I'm sure she will make sure the homeless people are people of color lest she risk helping ""Privileged"" white folks.  Enjoy the equality radical feminist chick.",Talks at Google,en,0.9504728317260742
Jk8ouL788fQ,Ugz7o17egkjpPKCqDxN4AaABAg,@Abhisruta,http://www.youtube.com/@Abhisruta,0,2019-08-29T05:19:15Z,2019-08-29T05:19:15Z,Google is incredible...Concert is ridiculous...Guruji is...(no adj.)Overwhelmed.,Talks at Google,en,0.9808931350708008
Bw9P_ZXWDJU,UgxV6RpytB15WRtf4JR4AaABAg,@k.b3687,http://www.youtube.com/@k.b3687,0,2020-11-02T02:03:57Z,2020-11-02T02:03:57Z,EPOCH TIMES!!!  High Quality News!!!,Talks at Google,en,0.9224475622177124
ZlSjhMvvibQ,UgwGTNOztIztsuFifJd4AaABAg,@kaml.7341,http://www.youtube.com/@kaml.7341,0,2021-04-11T03:00:42Z,2021-04-11T03:00:42Z,What a handsome man with hypnotic voice!,Talks at Google,en,0.9639773368835448
ginQNMiRu2w,Ugy2T_21G7WQcggGe794AaABAg,@VRKyurem,http://www.youtube.com/@VRKyurem,0,2013-04-01T02:04:15Z,1970-01-01T00:00:00Z,"Nolan says he personally likes to believe Cobb is reunited with his kids, because Nolan has kids himself. Therefore it is intent illy open-ended for the viewer to decide.",Talks at Google,en,0.9298991560935974
W-ONEAcBeTk,Ugw7aX_izAJxPCPFsaF4AaABAg,@arunabrunel9861,http://www.youtube.com/@arunabrunel9861,3,2021-05-03T11:50:25Z,2021-05-03T11:50:25Z,"Seems like she's from ""Soul"" so motivated and motivational",Talks at Google,en,0.959738552570343
pDe4R00ZbGI,UgzohJMgNe3SCi0SDwR4AaABAg,@muradhasan185,http://www.youtube.com/@muradhasan185,0,2020-06-23T06:32:58Z,2020-06-23T06:32:58Z,"Who let this ""Zero sense of humor"" guy sit with Eric Idle?? He is so obsessed about the questions! dumb idiot!! nobody cares about your dumb questions!! Talk with him. Make him talk. People love some lovely conversation.Dumb idiot with dumb questions in a printed paper! Seriouslyy!!! You are talking with Eric Idle. Laugh with him at least you dumb. How did google end up with these emotionless robots! Hopeless!!",Talks at Google,en,0.97285795211792
mcHsu4szEzU,UgxqAx3sLmJTIEn006l4AaABAg.9RH12uPVZrP9S1C39As9Z1,@MinatoNamikaze-ib7vq,http://www.youtube.com/@MinatoNamikaze-ib7vq,0,2021-09-08T10:41:31Z,2021-09-08T10:41:31Z,They should've interviewed you.,Talks at Google,en,0.9901622533798218
g6BK5Q_Dblo,UgzeQSlPJAUFiApNxVx4AaABAg.8yfB3AtTMwq9zXPw9Ypjgw,@glennsimonsen8421,http://www.youtube.com/@glennsimonsen8421,1,2024-01-14T00:45:52Z,2024-01-14T00:45:52Z,"I saw ""The Fountain"" signed R. Mutt at the Picasso Museum in Paris last year.  I think he made multiple copies.",Talks at Google,en,0.930361807346344
Y4_KbtwVj24,Ugg8B19JvW1_HXgCoAEC,@yashodhandere5431,http://www.youtube.com/@yashodhandere5431,1,2017-07-02T14:56:22Z,2017-07-02T14:56:22Z,What an eccentric and amusing personality.,Talks at Google,en,0.989345133304596
9QhigGukHek,Ugx_Y6J1dvWNGNVIW994AaABAg,@gysbertdeklerk,http://www.youtube.com/@gysbertdeklerk,0,2020-11-10T22:57:46Z,2020-11-10T22:57:46Z,11:20 Elon Musk is doing that so hopefully the other stuff is also happening soon.,Talks at Google,en,0.9251500964164734
nHiomRwhI0M,UgwbrihmeuJYSy9gSyt4AaABAg,@NeilJeffersNBJ,http://www.youtube.com/@NeilJeffersNBJ,0,2019-05-05T19:50:55Z,2019-05-05T19:56:46Z,"Slick Micky unconscious $tupid + fear + greed = empty life, rinse repeat. Mikael conscious cultivate values = virtue",Talks at Google,en,0.9503390789031982
2APK3tlPL_0,UgzVDFxku7HvXPCXue14AaABAg,@WilfriedAnonymo,http://www.youtube.com/@WilfriedAnonymo,2,2019-05-05T04:01:02Z,2019-05-05T04:01:02Z,"That's not at all what I got from the selfish gene. The book says exactly what it title says. namely that the gene is selfish. We aren't genes last time I checked. We're the result of the building instructions encoded in millions of genes, all in competition not with other individuals, but with other genes. That's a much saner approach and has less assumptions.",Talks at Google,en,0.993338108062744
